Single Langmuir probe analysis: 2026_06_10_SLP_ACQ18
====================================================
Samples available:         22578
Samples fitted:            22466
Voltage range:             -63.04 to -0.4777 V
Current range:             -2.8123e-04 to 5.4059e-03 A

Fit model
  I = Is * (1 + R * (V - Vf)) * (exp((V - Vf) / Te) - 1)

Plasma parameters
  Electron temperature Te: 44.0571 eV
  Electron density n:      -1.648737e+17 m^-3
  Ion saturation Is:       -8.630026e-04 A
  Floating potential Vf:   -78.558 V
  Plasma potential Vp:     99.0648 V
  R correction:            -0.0367391

Derived quantities
  Probe area:              2.010000e-06 m^2
  Ion mass:                4 amu
  Sound speed:             3.250707e+04 m/s
  Alpha:                   4.03165

Fit quality
  R-squared:               0.917010

Fit data
  voltage_V, current_A, fitted_current_A
  -61.148215, -0.000164052, -0.00015072374
  -61.148215, -0.000207018, -0.00015072374
  -61.148215, -0.000152334, -0.00015072374
  -61.148215, -0.000164052, -0.00015072374
  -61.148215, -0.000109368, -0.00015072374
  -61.148215, -8.9838e-05, -0.00015072374
  -61.148215, -0.000222642, -0.00015072374
  -61.148215, -0.000167958, -0.00015072374
  -61.14176, -0.000183582, -0.00015069217
  -61.14176, -0.00013671, -0.00015069217
  -61.14176, -0.000191394, -0.00015069217
  -61.14176, -0.000203112, -0.00015069217
  -61.14176, -0.000160146, -0.00015069217
  -61.14176, -0.000187488, -0.00015069217
  -61.14176, -0.0001953, -0.00015069217
  -61.14176, -5.859e-05, -0.00015069217
  -61.14176, -0.00017577, -0.00015069217
