Single Langmuir probe analysis: 2026_05_14_SLP_ACQ10
====================================================
Samples available:         11288
Samples fitted:            3743
Voltage range:             -98.21 to 15.39 V
Current range:             -7.0154e-04 to 5.6406e-03 A

Fit model
  I = Is * (1 + R * (V - Vf)) * (exp((V - Vf) / Te) - 1)

Plasma parameters
  Electron temperature Te: 4.5331 eV
  Electron density n:      7.816171e+16 m^-3
  Ion saturation Is:       1.312335e-04 A
  Floating potential Vf:   -27.6706 V
  Plasma potential Vp:     -9.39471 V
  R correction:            -0.0131223

Derived quantities
  Probe area:              2.010000e-06 m^2
  Ion mass:                4 amu
  Sound speed:             1.042720e+04 m/s
  Alpha:                   4.03165

Fit quality
  R-squared:               0.989091

Fit data
  voltage_V, current_A, fitted_current_A
  -98.212825, -0.0002403558, -0.0002527135
  -98.20637, -0.000241153, -0.00025270239
  -98.20637, -0.0002798172, -0.00025270239
  -98.20637, -0.0002367684, -0.00025270239
  -98.20637, -0.0002387614, -0.00025270239
  -98.20637, -0.0002399572, -0.00025270239
  -98.20637, -0.0002363698, -0.00025270239
  -98.20637, -0.0002447404, -0.00025270239
  -98.20637, -0.0002419502, -0.00025270239
  -98.20637, -0.0002455376, -0.00025270239
  -98.20637, -0.0002455376, -0.00025270239
  -98.20637, -0.0002347754, -0.00025270239
  -98.20637, -0.0002543068, -0.00025270239
  -98.20637, -0.0002614816, -0.00025270239
  -98.20637, -0.0002499222, -0.00025270239
  -98.20637, -0.0002435446, -0.00025270239
  -98.199915, -0.0002407544, -0.00025269127
  -98.199915, -0.000235174, -0.00025269127
  -98.199915, -0.0002395586, -0.00025269127
  -98.199915, -0.0002447404, -0.00025269127
  -98.199915, -0.0002427474, -0.00025269127
  -98.199915, -0.0002339782, -0.00025269127
  -98.199915, -0.0002216216, -0.00025269127
  -98.199915, -0.000241153, -0.00025269127
  -98.199915, -0.0002483278, -0.00025269127
  -98.199915, -0.00023916, -0.00025269127
  -98.199915, -0.0002515166, -0.00025269127
  -98.199915, -0.0002323838, -0.00025269127
  -98.199915, -0.0002463348, -0.00025269127
  -98.199915, -0.0002826074, -0.00025269127
  -98.199915, -0.0002427474, -0.00025269127
  -98.199915, -0.0002499222, -0.00025269127
  -98.199915, -0.0002375656, -0.00025269127
  -98.199915, -0.0002594886, -0.00025269127
  -98.199915, -0.0002335796, -0.00025269127
  -98.199915, -0.000229195, -0.00025269127
  -98.199915, -0.0002654676, -0.00025269127
  -98.199915, -0.0002427474, -0.00025269127
  -98.199915, -0.0002582928, -0.00025269127
  -98.199915, -0.000257097, -0.00025269127
  -98.199915, -0.0002379642, -0.00025269127
  -98.199915, -0.0002459362, -0.00025269127
  -98.199915, -0.0002499222, -0.00025269127
  -98.199915, -0.000249125, -0.00025269127
  -98.199915, -0.0002419502, -0.00025269127
  -98.199915, -0.000247132, -0.00025269127
  -98.199915, -0.0002586914, -0.00025269127
  -98.199915, -0.0002447404, -0.00025269127
  -98.19346, -0.0002427474, -0.00025268015
  -98.19346, -0.0002315866, -0.00025268015
  -98.19346, -0.0002467334, -0.00025268015
  -98.19346, -0.000243146, -0.00025268015
  -98.19346, -0.0002519152, -0.00025268015
  -98.19346, -0.0002483278, -0.00025268015
  -98.19346, -0.0002455376, -0.00025268015
  -98.19346, -0.0002479292, -0.00025268015
  -98.19346, -0.0002375656, -0.00025268015
  -98.19346, -0.000251118, -0.00025268015
  -98.19346, -0.0002387614, -0.00025268015
  -98.19346, -0.0002562998, -0.00025268015
  -98.19346, -0.0002427474, -0.00025268015
  -98.19346, -0.000257097, -0.00025268015
  -98.19346, -0.0002666634, -0.00025268015
  -98.19346, -0.0002562998, -0.00025268015
  -98.19346, -0.000255104, -0.00025268015
  -98.19346, -0.0002535096, -0.00025268015
  -98.19346, -0.0002379642, -0.00025268015
  -98.19346, -0.0002535096, -0.00025268015
  -98.19346, -0.0002387614, -0.00025268015
  -98.19346, -0.000241153, -0.00025268015
  -98.19346, -0.0002276006, -0.00025268015
  -98.19346, -0.000245139, -0.00025268015
  -98.19346, -0.0002467334, -0.00025268015
  -98.19346, -0.0002499222, -0.00025268015
  -98.19346, -0.0002483278, -0.00025268015
  -98.19346, -0.0002622788, -0.00025268015
  -98.19346, -0.000245139, -0.00025268015
  -98.19346, -0.0002678592, -0.00025268015
  -98.19346, -0.0002602858, -0.00025268015
  -98.19346, -0.0002507194, -0.00025268015
  -98.19346, -0.0002443418, -0.00025268015
  -98.19346, -0.0002527124, -0.00025268015
  -98.19346, -0.0002463348, -0.00025268015
  -98.19346, -0.0002507194, -0.00025268015
  -98.19346, -0.0002303908, -0.00025268015
  -98.19346, -0.0002547054, -0.00025268015
  -98.19346, -0.0002244118, -0.00025268015
  -98.19346, -0.0002447404, -0.00025268015
  -98.19346, -0.0002399572, -0.00025268015
  -98.19346, -0.0002419502, -0.00025268015
  -98.19346, -0.0002503208, -0.00025268015
  -98.19346, -0.000255104, -0.00025268015
  -98.19346, -0.0002479292, -0.00025268015
  -98.187005, -0.0002295936, -0.00025266904
  -98.187005, -0.0002455376, -0.00025266904
  -98.187005, -0.0002495236, -0.00025266904
  -98.187005, -0.0002475306, -0.00025266904
  -98.187005, -0.0002475306, -0.00025266904
  -98.187005, -0.0002323838, -0.00025266904
  -98.187005, -0.0002555026, -0.00025266904
  -98.187005, -0.000275034, -0.00025266904
  -98.187005, -0.0002419502, -0.00025266904
  -98.187005, -0.0002499222, -0.00025266904
  -98.187005, -0.0002307894, -0.00025266904
  -98.187005, -0.0002335796, -0.00025266904
  -98.187005, -0.0002519152, -0.00025266904
  -98.187005, -0.0002718452, -0.00025266904
  -98.187005, -0.0002638732, -0.00025266904
  -98.187005, -0.0002547054, -0.00025266904
  -98.187005, -0.0002467334, -0.00025266904
  -98.187005, -0.0002467334, -0.00025266904
  -98.187005, -0.0002423488, -0.00025266904
  -98.187005, -0.0002519152, -0.00025266904
  -98.187005, -0.000247132, -0.00025266904
  -98.187005, -0.0002475306, -0.00025266904
  -98.187005, -0.0002407544, -0.00025266904
  -98.187005, -0.0002479292, -0.00025266904
  -98.187005, -0.0002555026, -0.00025266904
  -98.187005, -0.0002359712, -0.00025266904
  -98.187005, -0.0002574956, -0.00025266904
  -98.187005, -0.0002507194, -0.00025266904
  -98.187005, -0.0002447404, -0.00025266904
  -98.187005, -0.0002483278, -0.00025266904
  -98.187005, -0.000249125, -0.00025266904
  -98.187005, -0.0002662648, -0.00025266904
  -98.187005, -0.0002543068, -0.00025266904
  -98.187005, -0.0002283978, -0.00025266904
  -98.187005, -0.0002562998, -0.00025266904
  -98.187005, -0.0002586914, -0.00025266904
  -98.187005, -0.0002475306, -0.00025266904
  -98.187005, -0.0002463348, -0.00025266904
  -98.187005, -0.00023916, -0.00025266904
  -98.187005, -0.0002455376, -0.00025266904
  -98.187005, -0.0002395586, -0.00025266904
  -98.187005, -0.000245139, -0.00025266904
  -98.187005, -0.0002562998, -0.00025266904
  -98.187005, -0.0002638732, -0.00025266904
  -98.187005, -0.000251118, -0.00025266904
  -98.187005, -0.000247132, -0.00025266904
  -98.187005, -0.0002475306, -0.00025266904
  -98.187005, -0.0002467334, -0.00025266904
  -98.18055, -0.0002415516, -0.00025265792
  -98.18055, -0.0002586914, -0.00025265792
  -98.18055, -0.0002562998, -0.00025265792
  -98.18055, -0.000243146, -0.00025265792
  -98.18055, -0.0002539082, -0.00025265792
  -98.18055, -0.0002674606, -0.00025265792
  -98.18055, -0.000237167, -0.00025265792
  -98.18055, -0.000237167, -0.00025265792
  -98.18055, -0.0002475306, -0.00025265792
  -98.18055, -0.0002343768, -0.00025265792
  -98.18055, -0.0002407544, -0.00025265792
  -98.18055, -0.000249125, -0.00025265792
  -98.18055, -0.0002379642, -0.00025265792
  -98.18055, -0.0002662648, -0.00025265792
  -98.18055, -0.0002443418, -0.00025265792
  -98.18055, -0.0002435446, -0.00025265792
  -98.18055, -0.0002566984, -0.00025265792
  -98.18055, -0.0002535096, -0.00025265792
  -98.18055, -0.00025909, -0.00025265792
  -98.18055, -0.0002363698, -0.00025265792
  -98.18055, -0.000247132, -0.00025265792
  -98.18055, -0.0002535096, -0.00025265792
  -98.18055, -0.0002559012, -0.00025265792
  -98.18055, -0.0002327824, -0.00025265792
  -98.18055, -0.0002547054, -0.00025265792
  -98.18055, -0.0002495236, -0.00025265792
  -98.18055, -0.0002523138, -0.00025265792
  -98.18055, -0.000231188, -0.00025265792
  -98.18055, -0.0002355726, -0.00025265792
  -98.18055, -0.0002495236, -0.00025265792
  -98.18055, -0.0002662648, -0.00025265792
  -98.18055, -0.0002626774, -0.00025265792
  -98.18055, -0.0002423488, -0.00025265792
  -98.18055, -0.0002427474, -0.00025265792
  -98.18055, -0.0002598872, -0.00025265792
  -98.18055, -0.0002367684, -0.00025265792
  -98.18055, -0.0002574956, -0.00025265792
  -98.18055, -0.000235174, -0.00025265792
  -98.18055, -0.0002543068, -0.00025265792
  -98.18055, -0.0002487264, -0.00025265792
  -98.18055, -0.0002539082, -0.00025265792
  -98.18055, -0.0002602858, -0.00025265792
  -98.18055, -0.0002499222, -0.00025265792
  -98.18055, -0.0002503208, -0.00025265792
  -98.18055, -0.0002562998, -0.00025265792
  -98.18055, -0.0002507194, -0.00025265792
  -98.18055, -0.0002566984, -0.00025265792
  -98.18055, -0.0002614816, -0.00025265792
  -98.18055, -0.000290978, -0.00025265792
  -98.18055, -0.0002543068, -0.00025265792
  -98.18055, -0.0002343768, -0.00025265792
  -98.18055, -0.0002746354, -0.00025265792
  -98.18055, -0.0002475306, -0.00025265792
  -98.18055, -0.0002479292, -0.00025265792
  -98.18055, -0.0002439432, -0.00025265792
  -98.18055, -0.0002543068, -0.00025265792
  -98.18055, -0.0002559012, -0.00025265792
  -98.174095, -0.0002566984, -0.00025264681
  -98.174095, -0.0002654676, -0.00025264681
  -98.174095, -0.0002535096, -0.00025264681
  -98.174095, -0.0002555026, -0.00025264681
  -98.174095, -0.000269055, -0.00025264681
  -98.174095, -0.0002638732, -0.00025264681
  -98.174095, -0.0002503208, -0.00025264681
  -98.174095, -0.0002523138, -0.00025264681
  -98.174095, -0.0002535096, -0.00025264681
  -98.174095, -0.000257097, -0.00025264681
  -98.174095, -0.0002602858, -0.00025264681
  -98.174095, -0.0002698522, -0.00025264681
  -98.174095, -0.0002427474, -0.00025264681
  -98.174095, -0.0002407544, -0.00025264681
  -98.174095, -0.0002499222, -0.00025264681
  -98.174095, -0.000247132, -0.00025264681
  -98.174095, -0.0002523138, -0.00025264681
  -98.174095, -0.000253111, -0.00025264681
  -98.174095, -0.0002566984, -0.00025264681
  -98.174095, -0.000247132, -0.00025264681
  -98.174095, -0.0002578942, -0.00025264681
  -98.174095, -0.0002447404, -0.00025264681
  -98.174095, -0.0002467334, -0.00025264681
  -98.174095, -0.0002423488, -0.00025264681
  -98.174095, -0.0002582928, -0.00025264681
  -98.174095, -0.0002547054, -0.00025264681
  -98.174095, -0.0002423488, -0.00025264681
  -98.174095, -0.0002642718, -0.00025264681
  -98.174095, -0.0002865934, -0.00025264681
  -98.174095, -0.0002802158, -0.00025264681
  -98.174095, -0.000237167, -0.00025264681
  -98.174095, -0.0002495236, -0.00025264681
  -98.174095, -0.0002543068, -0.00025264681
  -98.174095, -0.0002403558, -0.00025264681
  -98.174095, -0.0002614816, -0.00025264681
  -98.174095, -0.0002495236, -0.00025264681
  -98.174095, -0.000231188, -0.00025264681
  -98.174095, -0.0002383628, -0.00025264681
  -98.174095, -0.0002479292, -0.00025264681
